asunto,cuerpo,etiqueta,remitente,tiene_links,errores_gramaticales,todo_mayusculas,solicita_info_personal,clasificacion,feat_tiene_links,feat_errores_gramaticales,feat_todo_mayusculas,feat_solicita_info_personal,feat_cuerpo_len,feat_num_exclam,feat_upper_ratio,feat_num_words_body
Mensaje urgente,Por favor responde inmediatamente a este correo.,spam,urgente@correoimportante.net,0,0,0,0,HAM,0,0,0,0,48,0,0.024390243902439025,7
Oferta especial: 50% de descuento,Aprovecha nuestra oferta especial del 50% de descuento en todos nuestros productos. [enlace sospechoso],spam,descuentos@ofertasirresistibles.net,0,0,0,0,SPAM,0,0,0,0,103,0,0.011904761904761904,14
Tu cuenta ha sido suspendida,Tu cuenta ha sido suspendida debido a actividad sospechosa.  [enlace sospechoso],spam,seguridad@cuentacomprometida.com,0,0,0,0,SPAM,0,0,0,0,80,0,0.015151515151515152,11
"Actualización de seguridad;""Por favor; actualiza tu información de seguridad. [enlace sospechoso]"";spam;seguridad@actualizatucuenta.net;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Cita médica;""Doctor; ¿podría reprogramar mi cita para el próximo martes?"";ham;paciente@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Fel#cidades! ¡Has ganado un premio!,¡Felici#ades! Ha ganado un premio. Reclame su premio aquí: [enlace sospechoso],spam,premios@ganapremios.com,0,0,0,0,SPAM,0,0,0,0,80,3,0.08064516129032258,11
Recuerda pagar tu factura,Recuerda pagar tu factura antes de la fecha de vencimiento.,ham,facturas@empresa.com,0,0,0,0,HAM,0,0,0,0,59,0,0.02040816326530612,10
Compra tu nuevo auto hoy,Compra tu nuevo auto hoy con nuestros increíbles precios!,spam,autos@ventaautos.com,0,0,0,0,SPAM,0,0,0,0,58,1,0.041666666666666664,9
"Problemas con tu cuenta de correo electrónico;""Hemos detectado actividad sospechosa en tu cuenta. Por favor; inicia sesión aquí: [enlace sospechoso]"";spam;seguridad@correoelectronico.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Proyecto X;""Hola equipo; actualicemos el estado del proyecto X."";ham;jefe@empresa.com;False;False;False;False;Ham",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
¡Gana un iPhone!,¡Gana un iPhone gratis! ¡Participa ahora!,spam,iphone@ganaiphone.com,1,1,1,1,SPAM,1,1,1,1,43,3,0.14705882352941177,6
Recuerda tu cita con el dentista,Recuerda tu cita con el dentista para mañana a las 3:00 PM.,ham,citas@dentista.com,0,0,0,0,HAM,0,0,0,0,60,0,0.09302325581395349,12
Oferta exclusiva para ti,Oferta exclusiva solo para ti. ¡Compra ahora!,spam,ofertas@exclusivo.net,0,0,0,0,SPAM,0,0,0,0,46,1,0.08108108108108109,7
"Tu envío está en camino;""Tu envío está en camino; puedes rastrearlo aquí [enlace legítimo]"";ham;envios@empresa.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"¡Oferta limitada por tiempo!;""Oferta limitada por tiempo; no te quedes sin tu producto!"";spam;ofertas@limitadas.net;False;True;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: Planificación del evento;""Hola equipo; revisemos la planificación del evento."";ham;eventos@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Problemas con tu pago,Hemos detectado un problema con tu pago reciente. [enlace sospechoso],spam,pagos@pagosfraudulentos.net,0,0,0,0,SPAM,0,0,0,0,69,0,0.017543859649122806,10
¡Gana un auto nuevo!,¡Gana un auto nuevo! ¡Participa ahora!,spam,autos@ganaautos.com,0,0,0,0,SPAM,0,0,0,0,40,3,0.12903225806451613,6
"Re: Vacaciones;""Hola; ¿cómo van los preparativos para las vacaciones?"";ham;amigo@gmail.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta irresistible!,¡Oferta irresistible que no puedes dejar pasar!,spam,ofertas@irresistible.net,0,0,0,0,SPAM,0,0,0,0,48,2,0.05,7
Recuerda tu cita,Recuerda tu cita para mañana a las 10:00 AM.,ham,citas@empresa.com,0,0,0,0,SPAM,0,0,0,0,45,0,0.13333333333333333,9
Tu pedido ha sido confirmado,Tu pedido ha sido confirmado. [enlace legítimo],ham,confirmacion@tienda.com,0,0,0,0,SPAM,0,0,0,0,48,0,0.05263157894736842,7
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ganador@ofertasespeciales.com,1,1,1,1,SPAM,1,1,1,1,93,2,0.09722222222222222,13
Tu paquete está listo para ser recogido,Tu paquete ya está listo para ser recogido en la oficina de correos más cercana. [enlace legítimo],ham,notificaciones@correo.com,0,0,0,0,SPAM,0,0,0,0,101,0,0.05063291139240506,17
"Gana un viaje a Hawaii;""Felicidades# ha ganado un viaje a Hawái para dos personas. Haga clic aquí para reclamar su premio: [enlace sospechoso]"";spam;premios@sorteosfantasticos.net;True;False;False;False;Spam",N#ne,,,0,0,0,0,HAM,0,0,0,0,4,0,0.3333333333333333,1
Problemas con tu cuenta,Hemos detectado actividad inusual en tu cuenta. Por favor verifica tu información aquí: [enlace sospechoso],spam,seguridad@cuentasinseguras.com,1,1,1,1,SPAM,1,1,1,1,109,0,0.0449438202247191,15
"Mensaje importante de tu banco;""Estimado cliente; por favor verifica tu información bancaria aquí: [enlace sospechoso]"";spam;banco@correofalso.com;True;False;False;True;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
Tu pedido #12345 ha sido enviado,Tu pedido #12345 ha sido enviado. Haz clic aquí para rastrearlo: [enlace legítimo],ham,pedidos@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,84,0,0.06666666666666667,13
¡¡GRAN OFERTA!!,¡Aprovecha nuestra gran oferta! ¡Compra ahora!,spam,ofertas@grandesofertas.net,1,1,1,1,SPAM,1,1,1,1,48,4,0.10256410256410256,6
"Re: Reunión mañana;""Hola Juan; recuerda nuestra reunión mañana a las 10:00 AM."";ham;ana@gmail.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Mensaje urgente,Por favor responde inmediatamente a este correo.,spam,urgente@correoimportante.net,0,0,0,0,SPAM,0,0,0,0,48,0,0.024390243902439025,7
Oferta especial: 50% de descuento,Aprovecha nuestra oferta especial del 50% de descuento en todos nuestros productos. [enlace sospechoso],spam,descuentos@ofertasirresistibles.net,1,1,1,1,SPAM,1,1,1,1,103,0,0.011904761904761904,14
Tu cuenta ha sido suspendida,Tu cuenta ha sido suspendida debido a actividad sospechosa.  [enlace sospechoso],spam,seguridad@cuentacomprometida.com,0,0,0,0,SPAM,0,0,0,0,80,0,0.015151515151515152,11
"Actualización de seguridad;""Por favor; actualiza tu información de seguridad. [enlace sospechoso]"";spam;seguridad@actualizatucuenta.net;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Cita médica;""Doctor; ¿podría reprogramar mi cita para el próximo martes?"";ham;paciente@gmail.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Felicidades! ¡Has ganado un premio!,¡Felicidades! Ha ganado un premio. Reclame su premio aquí: [enlace sospechoso],spam,premios@ganapremios.com,0,0,0,0,SPAM,0,0,0,0,80,3,0.07936507936507936,11
Recuerda pagar tu factura,Recuerda pagar tu factura antes de la fecha de vencimiento.,ham,facturas@empresa.com,0,0,0,0,SPAM,0,0,0,0,59,0,0.02040816326530612,10
Compra tu nuevo auto hoy,Compra tu nuevo auto hoy con nuestros increíbles precios!,spam,autos@ventaautos.com,0,0,0,0,SPAM,0,0,0,0,58,1,0.041666666666666664,9
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,premios@ofertasespeciales.com,0,0,0,0,SPAM,0,0,0,0,93,2,0.09722222222222222,13
"Re: Tu cuenta ha sido comprometida;""Estimado usuario; hemos detectado actividad sospechosa en su cuenta. Por favor; verifique su información aquí: [enlace sospechoso]"";spam;seguridad@banconacional.com.uy;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Actualización de tu pedido #12345,Su pedido ha sido actualizado. Haga clic aquí para ver los detalles: [enlace seguro],ham,pedidos@amazon.com,0,0,0,0,SPAM,0,0,0,0,85,0,0.04477611940298507,14
"Re: Cita médica mañana a las 10 AM;""Doctora; ¿podría confirmar la cita de mañana a las 10 AM?"";ham;paciente@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Nuevo correo electrónico,¡Hola! ¿Qué tal todo?,ham,amigo@yahoo.com,0,0,0,0,HAM,0,0,0,0,24,1,0.3125,4
Oferta Limitada: ¡50% de descuento!,¡No te pierdas esta increíble oferta! ¡50% de descuento en todos nuestros productos. Compra ahora: [enlace sospechoso],spam,ofertas@megapromociones.net,1,1,1,1,SPAM,1,1,1,1,121,2,0.05319148936170213,17
"Tu paquete ha llegado;""Su paquete ha llegado a la oficina de correos. Para más información; visite: [enlace seguro]"";ham;notificaciones@correos.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Gana un viaje a Hawai;""Felicidades; ha ganado un viaje a Hawai. Reclame su premio aquí: [enlace sospechoso]"";spam;concursos@viajesgratis.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Reunión de trabajo;""Buenos días; adjunto la presentación para la reunión de esta tarde."";ham;compañero@outlook.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"ACTUALIZACION DE SU CUENTA;""Estimado cliente; actualice su información de pago para evitar la suspensión de su cuenta: [enlace sospechoso]"";spam;seguridad@bancofalso.com;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Proyecto X;""Estimado equipo; actualizacion sobre el proyecto X. Saludos."";ham;jefe@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"GANE UN AUTO NUEVO!!!;""Felicidades; has ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso]"";spam;premios@ganautos.com;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,3,0.0,0
"Re: Planificación del evento;""Hola equipo; les adjunto la planificación del evento. Saludos cordiales."";ham;organizador@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Solicitud de amistad;""Hola; me gustaría agregarlos a mis contactos."";ham;nuevoamigo@yahoo.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Importante: Actualice su contraseña;""Por motivos de seguridad; actualice su contraseña inmediatamente: [enlace sospechoso]"";spam;seguridad@tucuenta.com.do;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Re: Cita con el dentista,Dra. ¿Confirma la cita para mañana a las 3pm?,ham,paciente@outlook.com,0,0,0,0,SPAM,0,0,0,0,47,0,0.11764705882352941,9
Tu pedido ha sido enviado,Su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro],ham,envios@tiendaonline.com,1,1,1,1,SPAM,1,1,1,1,66,0,0.057692307692307696,10
¡Oferta Flash! ¡Descuento del 70%,¡Solo por hoy! ¡70% de descuento en todos nuestros productos. Compre ahora: [enlace sospechoso],spam,ofertasflash@descuentos.net,0,0,0,0,SPAM,0,0,0,0,97,2,0.05405405405405406,14
"Re: Informe del proyecto;""Estimado jefe; adjunto el informe del proyecto. Saludos."";ham;empleado@empresa.com;False;False;False;False;Ham",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
¡Gana un iPhone!,Ha ganado un iPhone! Reclame su premio aquí: [enlace sospechoso],spam,concursos@iphonegratis.com,0,0,0,0,HAM,0,0,0,0,65,2,0.0784313725490196,10
"Re: Reunion del equipo;""Estimados; confirmo la reunion para mañana a las 11 am."";ham;gerente@gmail.com;False;False;False;False;Ham",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
¡Oferta Exclusiva: Viajes a Europa!,¡Viajes a Europa con descuentos increíbles! Reserve ahora: [enlace sospechoso],spam,viajes@europa.com,0,0,0,0,SPAM,0,0,0,0,80,2,0.07692307692307693,10
"Re: Problemas con la impresora;""Estimado departamento de IT; la impresora sigue sin funcionar."";ham;empleado@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Confirmación de tu compra,Gracias por su compra. Puede ver los detalles aquí: [enlace seguro],ham,compras@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,68,0,0.05660377358490566,11
¡PRESTAMO RAPIDO Y FACIL!,¡Obtenga un préstamo rápido y fácil! Solicite ahora: [enlace sospechoso],spam,prestamos@creditorapido.com,0,0,0,0,SPAM,0,0,0,0,76,2,0.1016949152542373,10
"Re: Presentación del proyecto;""Estimado equipo; adjunto la presentación del proyecto."";ham;jefe@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana un auto!,Felicidades! Ha ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso],spam,premios@autosgratis.com,0,0,0,0,SPAM,0,0,0,0,82,2,0.06153846153846154,12
"Re: Reserva de hotel;""Hola; ¿podría confirmar la reserva del hotel para el próximo fin de semana?"";ham;cliente@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Tu contraseña ha sido restablecida;""Su contraseña ha sido restablecida. Si no fue usted; contacte con nosotros: [enlace seguro]"";ham;seguridad@gmail.com;True;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Aumente sus ventas,Aumente sus ventas con nuestra nueva herramienta. Más información: [enlace sospechoso],spam,ventas@aumentesusventas.net,0,0,0,0,SPAM,0,0,0,0,88,0,0.05555555555555555,11
"Re: Cita médica;""Doctor; ¿podría confirmar la cita para el lunes a las 2 PM?"";ham;paciente@yahoo.com;False;False;False;False;Ham",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
¡Oferta irresistible!#¡50% de descuento!,¡No te pierdas esta oferta# ¡50% de descuento en todos nuestros productos. Compra ahora: [enlace sospechoso],spam,ofertas@descuentos.net,0,0,0,0,SPAM,0,0,0,0,110,2,0.047058823529411764,16
"Re: Informe semanal;""Estimado jefe; adjunto el informe semanal."";ham;empleado@outlook.com;False;False;False;False;Ham",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
"¡Gane un viaje a Europa!;""Felicidades; ha ganado un viaje a Europa. Reclame su premio aquí: [enlace sospechoso]"";spam;concursos@viajesgratis.com;True;False;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"R#: Reunión de equipo;""Estimados; recuerden la reunión de mañana a las 9 AM."";ham;gerente@yahoo.com;False;False;False;False;Ham",No#e,,,0,0,0,0,HAM,0,0,0,0,4,0,0.3333333333333333,1
¡Oferta Flash! ¡75% de descuento!,¡Solo por hoy! ¡75% de descuento en todos nuestros productos. Compre ahora: [enlace sospechoso],spam,ofertasflash@descuentos.net,0,0,0,0,SPAM,0,0,0,0,97,3,0.05405405405405406,14
"Re: Proyecto Alfa;""Estimado equipo; actualizacion sobre el proyecto Alfa."";ham;jefe@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana un millón de dólares!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,premios@ofertasespeciales.com,0,0,0,0,SPAM,0,0,0,0,93,2,0.09722222222222222,13
"Re: Cita con el médico;""Doctor; ¿podría confirmar la cita para el martes a las 10 AM?"";ham;paciente@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta Increíble: ¡Gana un auto!,¡Felicidades! Ha ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso],spam,premios@ofertasespeciales.com,0,0,0,0,SPAM,0,0,0,0,84,2,0.07575757575757576,12
"Re: Reunión de proyecto;""Estimados; les recuerdo la reunión de proyecto para mañana a las 2 PM."";ham;gerente@outlook.com;False;False;False;False;Ham",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
¡Oferta Limitada! ¡60% de descuento!,¡No te pierdas esta increíble oferta! ¡60% de descuento en todos nuestros productos. Compra ahora: [enlace sospechoso],spam,ofertas@megapromociones.net,0,0,0,0,SPAM,0,0,0,0,121,3,0.05319148936170213,17
"Re: Problemas técnicos;""Estimado soporte técnico; estoy teniendo problemas con el sistema."";ham;usuario@gmail.com;False;False;False;False;Ham",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ofertasincreibles@ganamillon.com,0,0,0,0,SPAM,0,0,0,0,93,2,0.09722222222222222,13
"Re: Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro]"";ham;pedidos@micompañia.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Actualiza tu contraseña ahora;""Estimado usuario; por favor actualice su contraseña para mayor seguridad. Haga clic aquí: [enlace sospechoso]"";spam;seguridad@actualizatucuenta.net;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Tu cuenta ha sido bloqueada,Su cuenta ha sido bloqueada debido a actividad sospechosa. Ingrese sus datos para desbloquearla: [enlace sospechoso],spam,seguridad@bancofalso.com,0,0,0,0,SPAM,0,0,0,0,116,0,0.020618556701030927,16
"Nueva promoción en nuestra tienda online;""Aprovecha nuestras increíbles ofertas en productos electrónicos; ¡solo por tiempo limitado!"";ham;marketing@tiendavirtual.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: Cita médica;""Estimado paciente; le recordamos su cita médica del día 15 de octubre a las 10:00 am."";ham;citas@hospital.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"¡Oferta Exclusiva! ¡No te lo pierdas!;""Aprovecha nuestra increíble oferta; ¡solo por tiempo limitado! [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;True;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,3,0.0,0
Problemas con tu cuenta bancaria,Hemos detectado actividad inusual en su cuenta bancaria. Ingrese sus datos para verificar su identidad: [enlace sospechoso],spam,seguridad@banconacional.net,0,0,0,0,SPAM,0,0,0,0,123,0,0.019417475728155338,17
Confirma tu compra,Gracias por su compra. Puede revisar su pedido aquí: [enlace seguro],ham,compras@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,69,0,0.05555555555555555,11
GANE UN AUTO NUEVO,Usted ha ganado un auto nuevo. Visite nuestra web para reclamarlo: [enlace sospechoso],spam,concursos@ganeauto.com,0,0,0,0,SPAM,0,0,0,0,86,0,0.02857142857142857,13
"Re: Tu solicitud ha sido aprobada;""Estimado cliente; su solicitud ha sido aprobada. Puede consultar más información aquí: [enlace seguro]"";ham;solicitudes@empresa.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Actualiza tus datos,Por favor actualice sus datos personales para poder seguir usando nuestros servicios. [enlace sospechoso],spam,soporte@actualizatusdatos.net,0,0,0,0,SPAM,0,0,0,0,105,0,0.011235955056179775,14
"Problemas con tu cuenta;""Hemos detectado un problema con su cuenta. Por favor; actualice sus datos: [enlace sospechoso]"";spam;soporte@cuentaproblematica.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Tu pedido está listo para ser recogido;""Estimado cliente; su pedido está listo para ser recogido en nuestra tienda."";ham;pedidos@misupermercado.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Oferta limitada: ¡50% de descuento!,Aprovecha nuestra oferta limitada de 50% de descuento en todos nuestros productos. [enlace sospechoso],spam,ofertas@descuentosincreibles.net,0,0,0,0,SPAM,0,0,0,0,102,1,0.012048192771084338,14
"Re: Cambio de horario;""Estimado empleado; se informa cambio de horario a partir de la próxima semana."";ham;rrhh@empresa.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gane un viaje a las Bahamas!,¡Felicidades! Ha ganado un viaje a las Bahamas. Reclame su premio aquí: [enlace sospechoso],spam,concursos@viajesgratis.com,0,0,0,0,HAM,0,0,0,0,93,2,0.0821917808219178,14
"Re: Tu factura está lista;""Estimado cliente; su factura está lista para ser descargada: [enlace seguro]"";ham;facturas@empresa.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Atención: ¡Su cuenta ha sido comprometida!,Hemos detectado actividad sospechosa en su cuenta. Ingrese sus datos para asegurarla: [enlace sospechoso],spam,seguridad@bancounido.com,0,0,0,0,SPAM,0,0,0,0,105,1,0.022727272727272728,14
"Recuerda tu cita;""Hola; este es un recordatorio para tu cita del martes a las 3pm."";ham;recordatorios@clinicadental.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gran Rebaja!,Aprovecha nuestra gran rebaja en todos nuestros productos. [enlace sospechoso],spam,rebajas@superrebajas.net,0,0,0,0,SPAM,0,0,0,0,78,1,0.015151515151515152,10
"Re: Confirmación de reserva;""Estimado cliente; su reserva ha sido confirmada. Puede ver los detalles aquí: [enlace seguro]"";ham;reservas@hotel.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana un iPhone gratis!,Participa en nuestro concurso y gana un iPhone gratis. [enlace sospechoso],spam,concursos@iphonegratis.com,0,0,0,0,SPAM,0,0,0,0,74,1,0.03278688524590164,11
"Re: Actualización de software;""Estimado usuario; hay una nueva actualización de software disponible para su dispositivo."";ham;soporte@software.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Tu premio te espera,¡Felicidades! Ha ganado un premio. Reclámelo ahora: [enlace sospechoso],spam,premios@ganapremios.net,0,0,0,0,SPAM,0,0,0,0,73,1,0.08620689655172414,9
"Re: Tu paquete ha llegado;""Estimado cliente; su paquete ha llegado a la oficina de correos."";ham;envios@correos.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta Flash!,Oferta flash por tiempo limitado. ¡No te lo pierdas! [enlace sospechoso],spam,ofertasflash@ofertasrapidas.com,1,1,1,1,SPAM,1,1,1,1,73,2,0.05172413793103448,11
"Re: Tu cuenta ha sido creada;""Estimado usuario; su cuenta ha sido creada correctamente. Puede acceder aquí: [enlace seguro]"";ham;soporte@plataforma.com;True;False;False;False;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
¡Gane un millón de dólares!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ofertasincreibles@ganamillon.com,1,1,1,1,SPAM,1,1,1,1,93,2,0.09722222222222222,13
"Re: Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro]"";ham;pedidos@micompañia.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Actualiza tu contraseña ahora;""Estimado usuario; por favor actualice su contraseña para mayor seguridad. Haga clic aquí: [enlace sospechoso]"";spam;seguridad@actualizatucuenta.net;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Tu cuenta ha sido#bloqueada,Su cuenta ha sido bl#queada debido a actividad sospechosa. Ingrese sus datos para desbloquearla: [enlace sospechoso],spam,seguridad@bancofalso.com,0,0,0,0,SPAM,0,0,0,0,116,0,0.020833333333333332,16
"Nueva promoción en nuestra tienda online;""Aprovecha nuestras increíbles ofertas en productos electrónicos; ¡solo por tiempo limitado!"";ham;marketing@tiendavirtual.com;False;False;False;False;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,1,0.0,0
"Re: Cita médica;""Estimado paciente; le recordamos su cita médica del día 15 de octubre a las 10:00 am."";ham;citas@hospital.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"¡Oferta Exclusiva! ¡No te lo pierdas!;""Aprovecha nuestra increíble oferta; ¡solo por tiempo limitado! [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;True;True;False;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,3,0.0,0
Problemas con tu cuenta bancaria,Hemos detectado actividad inusual en su cuenta bancaria. Ingrese sus datos para verificar su identidad: [enlace sospechoso],spam,seguridad@banconacional.net,0,0,0,0,SPAM,0,0,0,0,123,0,0.019417475728155338,17
